,RespondentID,Knowledge,Interest,Algeria,Argentina,Australia,Belgium,Bosnia and Herzegovina,Brazil,Cameroon,Chile,Colombia,Costa Rica,Croatia,Ecuador,England,France,Germany,Ghana,Greece,Honduras,Iran,Italy,Ivory Coast,Japan,Mexico,the Netherlands,Nigeria,Portugal,Russia,South Korea,Spain,Switzerland,United States,Uruguay,China,India,Thailand,Turkey,Cuba,Ethiopia,Vietnam,Ireland,Gender,Age,Household Income,Education,Location
33,3308756665,Novice,Not much,,,,,,,,,,,,,3.0,3.0,3.0,,4.0,,,4.0,,4.0,3.0,,,,,,,,3.0,,3.0,2.0,5.0,,,,4.0,3.0,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,East North Central
34,3308755584,Novice,Some,,,3.0,,,,,,,,,,,,,,3.0,,,3.0,,3.0,3.0,,,,,,,,5.0,,,2.0,,,,,,,Male,30-44,"$25,000 - $49,999",High school degree,Pacific
35,3308755566,Intermediate,Some,,,,,,3.0,,,,,,,3.0,3.0,4.0,,3.0,,,3.0,,4.0,4.0,,,,,3.0,,,4.0,,4.0,3.0,3.0,,4.0,,,3.0,Male,45-60,"$25,000 - $49,999",Bachelor degree,East North Central
36,3308750909,Intermediate,Not much,,,3.0,,,,,,,,,,3.0,4.0,5.0,,,,,4.0,,,2.0,,,,,1.0,,,5.0,,4.0,2.0,,,,,,3.0,Female,45-60,"$0 - $24,999",Bachelor degree,East North Central
37,3308750030,Intermediate,Not much,,4.0,4.0,5.0,,4.0,3.0,3.0,3.0,4.0,,3.0,4.0,5.0,4.0,,2.0,,3.0,5.0,,5.0,5.0,4.0,,5.0,1.0,2.0,4.0,4.0,4.0,,3.0,3.0,,,4.0,,,4.0,Male,18-29,"$150,000+",Some college or Associate degree,South Atlantic
38,3308749999,Intermediate,Not much,,,3.0,,,,,,3.0,,,,2.0,1.0,1.0,,4.0,,,4.0,,4.0,4.0,,,3.0,,,4.0,,3.0,,5.0,3.0,4.0,,3.0,,,2.0,Male,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
39,3308749256,Intermediate,A lot,,,,,,,,,4.0,,,,2.0,5.0,3.0,,4.0,,,4.0,,4.0,3.0,,,,,,4.0,,3.0,,3.0,4.0,3.0,,4.0,3.0,3.0,1.0,Female,45-60,"$150,000+",Some college or Associate degree,Middle Atlantic
40,3308747452,Intermediate,Not much,,,,,,3.0,,,,,,,,,,,,,,4.0,,,5.0,,,,,,,,3.0,,2.0,5.0,3.0,,,,,,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
41,3308746473,Novice,Not at all,,,,,,,,,,,,,3.0,,,,,,,3.0,,3.0,,,,,,,,,4.0,,3.0,,,,,,,,Male,> 60,"$0 - $24,999",Some college or Associate degree,Pacific
42,3308744587,Novice,Some,,,,,,,,,,,,,,,,,,,,4.0,,,5.0,,,,,,,,4.0,,3.0,,,,,,,,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
43,3308742865,Advanced,A lot,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,5.0,5.0,5.0,,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,Male,> 60,"$150,000+",High school degree,South Atlantic
44,3308740007,Intermediate,Some,3.0,,4.0,4.0,,,,,,,,,4.0,4.0,4.0,,3.0,,,5.0,,4.0,4.0,4.0,2.0,,,1.0,4.0,4.0,3.0,,3.0,2.0,4.0,4.0,3.0,,1.0,3.0,Male,18-29,"$0 - $24,999",Bachelor degree,West South Central
45,3308739057,Novice,Some,,5.0,,,,2.0,,,,,,,1.0,3.0,1.0,,4.0,,,5.0,,4.0,5.0,,,,,,3.0,,3.0,,5.0,2.0,4.0,,,,4.0,4.0,Female,45-60,,Bachelor degree,West North Central
46,3308738718,Intermediate,A lot,,,3.0,4.0,1.0,3.0,,4.0,,5.0,,,3.0,5.0,3.0,,,4.0,,5.0,,4.0,4.0,4.0,,4.0,4.0,,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,Female,45-60,,Bachelor degree,South Atlantic
47,3308733172,Intermediate,Not much,,,,,,4.0,,,,,,,3.0,,3.0,,5.0,,,5.0,,,,,,,,,,,3.0,,,,,,,,,3.0,Female,45-60,,Some college or Associate degree,New England
48,3308724205,Novice,Some,,,,,,,,,,,,,,3.0,3.0,,3.0,,,3.0,,,,,,,,3.0,,,3.0,,,,,,,,,,Male,45-60,"$50,000 - $99,999",Graduate degree,New England
49,3308721608,Novice,A lot,,,,3.0,,,,,3.0,,,,3.0,3.0,1.0,,3.0,,,4.0,,3.0,3.0,,,,2.0,,4.0,,4.0,,3.0,3.0,2.0,,3.0,,2.0,,Female,45-60,,Graduate degree,South Atlantic
50,3308720038,Novice,Some,,,,,,,,,,,,,4.0,5.0,3.0,4.0,4.0,,,5.0,,2.0,5.0,5.0,,,,,5.0,,5.0,,4.0,,,,,,,,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,East North Central
51,3308719922,Novice,Not at all,,,,,,,,,,,,,1.0,3.0,3.0,,5.0,,,5.0,,,3.0,,,,,,,,5.0,,4.0,,3.0,3.0,,,3.0,,Male,45-60,"$50,000 - $99,999",High school degree,New England
52,3308719451,Advanced,A lot,,3.0,3.0,3.0,,4.0,,,3.0,,,,,3.0,2.0,,5.0,,,5.0,,5.0,5.0,,,4.0,3.0,4.0,5.0,3.0,3.0,,4.0,5.0,5.0,,4.0,5.0,4.0,3.0,Male,45-60,"$25,000 - $49,999",Bachelor degree,Mountain
53,3308718419,Intermediate,Some,,,4.0,3.0,,,,,,,,,1.0,3.0,2.0,,4.0,,,5.0,,5.0,5.0,,,,,4.0,4.0,,3.0,,4.0,4.0,4.0,,,,4.0,2.0,Female,18-29,,Bachelor degree,South Atlantic
54,3308718351,Novice,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,5.0,Female,45-60,"$0 - $24,999",Some college or Associate degree,Mountain
55,3308717519,Novice,A lot,,,,3.0,,,,,,,,,3.0,4.0,2.0,,,,4.0,3.0,,3.0,5.0,,,,,,,,3.0,,3.0,4.0,3.0,,,4.0,,,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,East South Central
56,3308716587,Novice,Some,,,3.0,,,,,,,,,,3.0,2.0,,,3.0,,5.0,3.0,,,4.0,,,,,,,,4.0,,2.0,5.0,,,,,,,Female,18-29,,Some college or Associate degree,Pacific
57,3308716054,Novice,Not much,,,,,,,,,,,,,3.0,4.0,3.0,,,3.0,,4.0,,4.0,2.0,4.0,,,,,3.0,,3.0,,4.0,1.0,2.0,,3.0,,,3.0,Female,18-29,"$150,000+",Bachelor degree,East North Central
58,3308715976,Intermediate,Some,,,3.0,,,,,4.0,,4.0,,4.0,3.0,3.0,3.0,3.0,4.0,3.0,,4.0,,3.0,4.0,,,,3.0,,4.0,,2.0,,3.0,5.0,5.0,3.0,3.0,3.0,,3.0,Female,18-29,"$25,000 - $49,999",Bachelor degree,New England
59,3308715946,Novice,Some,,,,,,4.0,,,,3.0,,,3.0,4.0,3.0,,3.0,,,4.0,,5.0,4.0,,,,,,4.0,,5.0,,4.0,3.0,3.0,,,,,3.0,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
60,3308715331,Novice,A lot,,,,,,,,,,,,,4.0,4.0,,,,,,5.0,,3.0,5.0,,,,,,4.0,,4.0,,4.0,,,,,,,4.0,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain
62,3308712364,Novice,Some,,,,,,,,,,,,,4.0,5.0,3.0,,4.0,,,5.0,,5.0,4.0,,,,3.0,4.0,4.0,,4.0,,5.0,3.0,4.0,,4.0,,4.0,4.0,Male,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic
63,3308710220,Intermediate,Some,,,,4.0,,4.0,,3.0,,3.0,,3.0,3.0,4.0,4.0,,4.0,,,5.0,,4.0,3.0,,,,,,,4.0,4.0,,4.0,3.0,3.0,,,,,3.0,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central
64,3308708004,Novice,Some,,3.0,4.0,,,3.0,,3.0,3.0,3.0,4.0,,3.0,3.0,4.0,,4.0,,2.0,4.0,3.0,4.0,4.0,4.0,,3.0,3.0,3.0,3.0,,5.0,,3.0,4.0,3.0,3.0,3.0,,3.0,4.0,Male,45-60,,High school degree,Middle Atlantic
65,3308705135,Novice,Some,,,,,,,,,,,,,3.0,3.0,3.0,,3.0,,,4.0,,,4.0,,,3.0,,,3.0,,4.0,,4.0,1.0,1.0,,,,,3.0,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
66,3308702964,Novice,Not much,,,,,,,,,,,,,,3.0,3.0,,,,,5.0,,3.0,4.0,,,,,,,,5.0,,4.0,1.0,,,,,,,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
67,3308702870,Intermediate,A lot,,2.0,,,,3.0,,3.0,,3.0,,,,3.0,3.0,,3.0,,,3.0,,4.0,5.0,,,,,,4.0,,3.0,3.0,5.0,4.0,5.0,3.0,,,3.0,,Male,18-29,"$25,000 - $49,999",High school degree,Pacific
68,3308702323,Intermediate,Some,,,,,,,,,,,,,3.0,,4.0,,,,,,,,4.0,5.0,,,,,4.0,,5.0,,,4.0,,,,,3.0,,Female,45-60,"$0 - $24,999",Some college or Associate degree,Mountain
69,3308702075,Intermediate,A lot,3.0,4.0,4.0,3.0,,4.0,,4.0,,5.0,,3.0,3.0,4.0,4.0,,5.0,3.0,3.0,5.0,,3.0,5.0,,,3.0,4.0,,3.0,3.0,3.0,,3.0,5.0,3.0,4.0,4.0,4.0,,3.0,Female,45-60,,Bachelor degree,East North Central
70,3308698389,Novice,Some,,,3.0,3.0,,,,,,,,,3.0,3.0,3.0,,3.0,,,4.0,,2.0,2.0,,,,,,,3.0,1.0,,3.0,1.0,3.0,,,,,4.0,Male,45-60,"$150,000+",Graduate degree,East North Central
71,3308697922,Advanced,A lot,,4.0,3.0,3.0,,4.0,,4.0,4.0,4.0,,4.0,2.0,3.0,3.0,,3.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,,3.0,3.0,4.0,4.0,3.0,4.0,,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Mountain
72,3308697837,Novice,Some,,,,,,,,,,,,,4.0,4.0,3.0,,4.0,,,4.0,,3.0,5.0,,,3.0,3.0,,3.0,,5.0,,5.0,2.0,2.0,,,,,4.0,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
74,3308696221,Intermediate,Not much,,,1.0,,3.0,,,,3.0,,,,3.0,,3.0,,,,,,,,3.0,,,,,,,,5.0,,,,,,3.0,,,,Female,18-29,,,South Atlantic
75,3308696186,Advanced,A lot,,,4.0,,,,,,,,,,2.0,5.0,,,4.0,,,5.0,,,4.0,,,,,,4.0,,4.0,,,,,5.0,,,,4.0,Female,18-29,"$50,000 - $99,999",Bachelor degree,West South Central
76,3308694655,Intermediate,A lot,,,3.0,2.0,2.0,,,2.0,3.0,,,,4.0,3.0,5.0,,4.0,4.0,4.0,4.0,,4.0,5.0,,,,4.0,,3.0,3.0,4.0,,4.0,5.0,5.0,,3.0,,,3.0,Male,18-29,"$0 - $24,999",High school degree,South Atlantic
77,3308693743,Intermediate,A lot,3.0,3.0,2.0,3.0,,3.0,,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,3.0,4.0,,4.0,5.0,,2.0,5.0,3.0,,3.0,3.0,,3.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
78,3308693243,Novice,Not at all,,,,,,,,,,,,,2.0,1.0,3.0,,,,,4.0,,3.0,1.0,,,,,,,,5.0,,3.0,2.0,,,3.0,,,,Male,45-60,,Bachelor degree,South Atlantic
79,3308691887,Intermediate,A lot,,,,,,,,,,,,,3.0,4.0,4.0,,4.0,,,5.0,,3.0,4.0,,,,,,4.0,,4.0,,4.0,4.0,,,,,,3.0,Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
80,3308691132,Intermediate,A lot,3.0,3.0,3.0,2.0,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,5.0,,5.0,5.0,,3.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,,2.0,3.0,Male,18-29,"$50,000 - $99,999",Bachelor degree,
81,3308690549,Novice,Not much,,,,,,,,,,,,,3.0,3.0,3.0,,3.0,,,4.0,3.0,3.0,5.0,3.0,,,3.0,,3.0,3.0,4.0,,3.0,3.0,3.0,,3.0,,,3.0,Female,45-60,,Some college or Associate degree,East North Central
82,3308690171,Intermediate,A lot,,5.0,3.0,,,5.0,,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,,4.0,,,5.0,,5.0,4.0,,,3.0,3.0,3.0,5.0,,5.0,,5.0,3.0,4.0,,5.0,,3.0,4.0,Female,45-60,"$150,000+",Bachelor degree,Middle Atlantic
84,3308689374,Novice,Not much,,,,,,,,,,,,,2.0,3.0,2.0,,2.0,,,5.0,,3.0,5.0,,,,,,4.0,,2.0,,3.0,,,,3.0,,,2.0,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central
85,3308689072,Intermediate,Some,,,3.0,,,,,,,,,,3.0,,,,3.0,,,3.0,,3.0,3.0,,,,,3.0,,,5.0,,3.0,3.0,3.0,,3.0,,,,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
86,3308687767,Advanced,A lot,,,3.0,,,,,,,,,,2.0,4.0,3.0,,4.0,,3.0,5.0,,4.0,5.0,,,,3.0,4.0,4.0,,2.0,,4.0,5.0,5.0,,4.0,4.0,,3.0,Female,30-44,"$150,000+",Bachelor degree,South Atlantic
87,3308687706,Novice,A lot,,,,5.0,4.0,,,,,,4.0,,2.0,3.0,5.0,,4.0,,,5.0,,5.0,3.0,4.0,,,3.0,2.0,3.0,4.0,3.0,,5.0,5.0,4.0,3.0,,4.0,5.0,3.0,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
88,3308686878,Novice,Not at all,2.0,2.0,4.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,1.0,1.0,5.0,2.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,3.0,Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
89,3308684357,Intermediate,Some,,2.0,2.0,,,3.0,,,,,,,3.0,5.0,3.0,,4.0,,,4.0,,2.0,5.0,,,4.0,4.0,3.0,4.0,4.0,5.0,,4.0,1.0,3.0,,3.0,,,3.0,Male,> 60,"$150,000+",Graduate degree,West South Central
90,3308683714,Intermediate,Some,,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,4.0,4.0,,4.0,3.0,2.0,4.0,3.0,4.0,4.0,,,3.0,3.0,3.0,4.0,3.0,4.0,,4.0,3.0,3.0,3.0,3.0,,,3.0,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
91,3308682260,Intermediate,Some,,,,,,,,,,,,,4.0,5.0,5.0,,3.0,,,4.0,,3.0,3.0,,,3.0,,,3.0,,4.0,,3.0,3.0,,,3.0,,,4.0,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
92,3308681795,Intermediate,Some,,4.0,,3.0,,3.0,,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,,4.0,3.0,,,,3.0,4.0,,,4.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,Female,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic
93,3308681074,Novice,Not much,,,3.0,,,,,,,3.0,,,2.0,3.0,3.0,,,,,3.0,,3.0,4.0,3.0,,,,3.0,3.0,3.0,3.0,,4.0,1.0,3.0,,3.0,,3.0,4.0,Male,> 60,,Bachelor degree,West South Central
94,3308680553,Intermediate,Some,,,,,,,,,,,,,3.0,3.0,3.0,,3.0,,,4.0,,4.0,2.0,3.0,,,2.0,3.0,3.0,,3.0,,3.0,3.0,3.0,,,,2.0,,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
95,3308680252,Novice,Some,,,,,,,,,,,,,3.0,3.0,,,4.0,,,5.0,,4.0,3.0,,,,,3.0,3.0,,3.0,,4.0,3.0,4.0,,2.0,3.0,,,Male,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic
96,3308679861,Novice,Not much,,,,3.0,,,,,3.0,,,,3.0,4.0,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,Male,30-44,,Graduate degree,South Atlantic
97,3308678746,Advanced,Some,,5.0,4.0,4.0,4.0,4.0,,5.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,,5.0,2.0,,5.0,,4.0,3.0,4.0,,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,,4.0,3.0,Female,> 60,"$25,000 - $49,999",Graduate degree,East South Central
98,3308678417,Novice,Some,,3.0,3.0,,,3.0,,,3.0,3.0,,,3.0,3.0,3.0,,3.0,,,5.0,,3.0,3.0,,,3.0,,,3.0,2.0,5.0,,3.0,4.0,3.0,,3.0,,2.0,2.0,Male,45-60,"$150,000+",Bachelor degree,New England
100,3308676736,Novice,Some,,,4.0,,,,,,,,,,5.0,5.0,5.0,,3.0,,,5.0,,5.0,5.0,,,,,3.0,3.0,3.0,5.0,,5.0,3.0,3.0,3.0,,,3.0,4.0,Female,> 60,"$150,000+",Bachelor degree,West South Central
102,3308675636,Advanced,A lot,4.0,4.0,3.0,4.0,,,4.0,,4.0,4.0,,,3.0,4.0,3.0,,4.0,4.0,4.0,5.0,,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,,5.0,4.0,4.0,5.0,5.0,,4.0,2.0,Female,> 60,,Bachelor degree,South Atlantic
103,3308675380,Intermediate,Some,,,,,,4.0,,,,,,,4.0,3.0,,,3.0,,,5.0,,4.0,3.0,,,,4.0,1.0,4.0,,5.0,,4.0,4.0,4.0,4.0,3.0,,4.0,,Male,45-60,,High school degree,Pacific
104,3308674922,Novice,Some,,4.0,,,,3.0,,4.0,4.0,,,,,,,,3.0,,,4.0,,4.0,4.0,3.0,,2.0,3.0,3.0,,2.0,3.0,3.0,3.0,3.0,3.0,,,,3.0,,Male,18-29,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
105,3308673462,Intermediate,Some,,,,3.0,,,,,,,,,3.0,5.0,,,4.0,,,5.0,,3.0,5.0,,,,,,4.0,,5.0,,5.0,4.0,5.0,,,3.0,4.0,,Male,18-29,,,West North Central
